"taxa","PC1","PC2","PC3","PC4","PC5","v1","v2","v3","v4"
"V49",-308.997094589393,182.473221596118,-33.3439679880339,82.5876552244349,107.377361092456,1,0,0,0
"V50",-304.631899185315,184.514745580566,-70.2300707325356,59.2644477218132,-101.182862190433,1,0,0,0
"V51",-311.695540639041,230.264058981742,-179.859481147866,55.0811141282166,-131.964314766354,1,0,0,0
"V52",-254.889018048384,253.645609449478,88.3998545830413,54.992213201809,91.9909010406347,1,0,0,0
"V53",-270.996235699624,265.940163888684,-11.9784277912797,32.091380701751,29.8889570236493,1,0,0,0
"V54",-160.013490572839,308.796249065646,-75.5906088622453,-4.40774917254382,-75.959174432769,1,0,0,0
"V55",-142.633144101846,287.536573505427,275.888051582599,-29.5401212404744,-64.0924781971316,1,0,0,0
"V56",-248.294263274789,220.181790850561,-71.7558505411783,25.9403627215502,-43.1221390645837,1,0,0,0
"V57",-205.455659347842,261.667511172776,88.5988097161483,4.18306766162069,178.521786385456,1,0,0,0
"V58",-358.803130549813,153.000131222408,-249.720579912187,53.2213180165419,-123.206877151846,1,0,0,0
"V59",-299.299205786793,213.470259686117,-154.173974062539,52.1302341934526,-125.826090369692,1,0,0,0
"V60",-230.763069271454,290.019596244489,54.649832623391,25.6594833884932,175.530152556181,1,0,0,0
"V61",-164.021737428144,248.532989869922,233.341120084299,59.863239663464,138.667074537045,1,0,0,0
"V62",-236.267271700359,232.871155604869,-118.039648288561,37.5911062821709,-59.5454876058475,1,0,0,0
"V63",-311.576773892482,251.155059922566,-151.001409291753,64.2125148477091,-79.9896779356005,1,0,0,0
"V64",-254.276782905736,286.177462344016,-86.0654254746584,49.1280791225776,-64.0387748913204,1,0,0,0
"V65",-249.193554244858,237.163193789967,-162.063160603331,42.4490438633075,-116.324998797411,1,0,0,0
"V66",-249.28790872349,237.249054642695,-161.908788837688,42.4627604926408,-116.340948372016,1,0,0,0
"V67",-263.543310329539,336.824944977515,-44.4196473931605,48.5168799354309,-20.4948440486547,1,0,0,0
"V68",-211.39566349383,328.451980022668,-90.4316430283607,55.5572417310828,-20.1147989070468,1,0,0,0
"V69",-229.202647471992,235.22660463502,11.4960482327539,49.9739590398872,0.129237209929244,1,0,0,0
"V70",-243.773656656588,249.46441023374,122.730920496912,51.3479534816643,86.4892892474633,1,0,0,0
"V71",-229.2271836412,235.368060798543,11.4465295291533,50.0192185909784,0.350537061571867,1,0,0,0
"V72",-383.472160463917,206.657038361659,-194.472459108171,32.9872830738488,-68.3737258460052,1,0,0,0
"V73",-222.546546257309,283.297797851519,-0.0135089938033151,43.4463418416171,-23.6231215354688,1,0,0,0
"V74",-276.072946821201,210.398008578192,-98.5262228702041,51.6741208333503,-67.8712158855157,1,0,0,0
"V75",-337.338904433836,236.340572114523,-263.208932040815,70.7320549933035,-225.28781074487,1,0,0,0
"V76",-310.796070594826,239.546075802,-186.385840385965,84.3341667379211,-125.691287723103,1,0,0,0
